8.2	taaqegkaaguuq#V	taaqegkaaguuq	V	[Ind.Intr]^[3Sg]		8	@~–(g)kau(V→V)		{}
8.3	taaqegkaaguuq#V	taaqegkaaguuq	V	[Ind.Intr]^[3Sg]		8	@~–(g)kau(V→V)		{}
8.4	taaqegkaaq#N	taaqegkaaq	N	[Abs.Sg]		8	@~–(g)kagh(V→N)		{}
8.5	taaqegkaaq#N	taaqegkaaq	N	[Abs.Sg]		8	@~–(g)kagh(V→N)		{}
8.6	taaqmiquuq#V	taaqmiquuq	V	[Ind.Intr]^[3Sg]		8	@~fmiqe(CmpdVbl)		{}
8.7	taaqnaquuq#V	taaqnaquuq	V	[Ind.Intr]^[3Sg]		8	@~fnaqe(V→V)		{}
8.8	taaqigwatuuq#V	taaqigwatuuq	V	[Ind.Intr]^[3Sg]		8	@~:(ng)igate(V→V)		{}
8.9	taaqragkiightuuq#V	taaqragkiightuuq	V	[Ind.Intr]^[3Sg]		8	@~f–ragkiigh(V→V)		{}
8.10	taaqestuuq#V	taaqestuuq	V	[Ind.Intr]^[3Sg]		8	+(te)ste(CmpdVbl)		{}
8.11	taaqfiik#N	taaqfiik	N	[Abs.Sg]		8	@~fvig(V→N)		{}
8.12	taaqsugtuuq#V	taaqsugtuuq	V	[Ind.Intr]^[3Sg]		8	@~fyug(V→V)		{}
8.13	taaqragkiightuuq#V	taaqragkiightuuq	V	[Ind.Intr]^[3Sg]		8	@~f–ragkiigh(V→V)		{}
8.14	taaqigwatuuq#V	taaqigwatuuq	V	[Ind.Intr]^[3Sg]		8	@~:(ng)igate(V→V)		{}
8.15	taaqfiik#N	taaqfiik	N	[Abs.Sg]		8	@~fvig(V→N)		{}
8.16	taaqsugtuuq#V	taaqsugtuuq	V	[Ind.Intr]^[3Sg]		8	@~fyug(V→V)		{}

9	kaatuuq#V	kaatuuq	V	[Ind.Intr]^[3Sg]					{}
9.1	kaataghesnaghtuuq#V	kaataghesnaghtuuq	V	[Ind.Intr]^[3Sg]		9	~f(a)ghesnagh(V→V)		{}
9.2	kaataataghtuuq#V	kaataataghtuuq	V	[Ind.Intr]^[3Sg]		9	~aatagh(V→V)		{}
9.3	kaataquuq#V	kaataquuq	V	[Ind.Intr]^[3Sg]		9	~(g)aqe(V→V)		{}
9.4	kaatkaaguuq#V	kaatkaaguuq	V	[Ind.Intr]^[3Sg]		9	@~–(g)kau(V→V)		{}
9.5	kaatkaaguuq#V	kaatkaaguuq	V	[Ind.Intr]^[3Sg]		9	@~–(g)kau(V→V)		{}
9.6	kaasimaaq#V	kaasimaaq	V	[Ind.Intr]^[3Sg]		9	@~:(i/u)ma(V→V)		{}
9.7	kaallaaghigatuuq#V	kaallaaghigatuuq	V	[Ind.Intr]^[3Sg]		9	@laaghigate(V→V)		{}
9.8	kaallaataquuq#V	kaallaataquuq	V	[Ind.Intr]^[3Sg]		9	@laataqu(V→V)		{}
9.9	kaallghii#N	kaallghii	N	[Abs.Sg]		9	@–lghii(V→N)		{}
9.10	kaallequuq#V	kaallequuq	V	[Ind.Intr]^[3Sg]		9	@lleqe(V→V)		{}
9.11	kaallughtuuq#V	kaallughtuuq	V	[Ind.Intr]^[3Sg]		9	@lugh(V→V)		{}
9.12	kaannaaghtuuq#V	kaannaaghtuuq	V	[Ind.Intr]^[3Sg]		9	@~fnaagh(V→V)		{}
9.13	kaannaquuq#V	kaannaquuq	V	[Ind.Intr]^[3Sg]		9	@~fnaqe(V→V)		{}
9.14	kaanneghhaaq#N	kaanneghhaaq	N	[Abs.Sg]		9	@–nghhagh(V→N)		{}
9.15	kaanneghituuq#V	kaanneghituuq	V	[Ind.Intr]^[3Sg]		9	@–nghite(V→V)		{}
9.16	kaasigwatuuq#V	kaasigwatuuq	V	[Ind.Intr]^[3Sg]		9	@~:(ng)igate(V→V)		{}
9.17	kaatepigwesnaghtuuq#V	kaatepigwesnaghtuuq	V	[Ind.Intr]^[3Sg]		9	–pigesnagh(V→V)		{}
9.18	kaatqaghtuuq#V	kaatqaghtuuq	V	[Ind.Intr]^[3Sg]		9	~–qaghte(V→V)		{}
9.19	kaatquutuuq#V	kaatquutuuq	V	[Ind.Intr]^[3Sg]		9	~(q/t)uute(V→V)		{}
9.20	kaarragkiightuuq#V	kaarragkiightuuq	V	[Ind.Intr]^[3Sg]		9	@~f–ragkiigh(V→V)		{}
9.21	kaatutuuq#V	kaatutuuq	V	[Ind.Intr]^[3Sg]		9	@~:(u)te(V→V)		{}
9.22	kaatfiik#N	kaatfiik	N	[Abs.Sg]		9	@~fvig(V→N)		{}
9.23	kaatutuuq#V	kaatutuuq	V	[Ind.Intr]^[3Sg]		9	@~:(u)te(V→V)		{}
9.24	kaallghii#N	kaallghii	N	[Abs.Sg]		9	@–lghii(V→N)		{}
9.25	kaarragkiightuuq#V	kaarragkiightuuq	V	[Ind.Intr]^[3Sg]		9	@~f–ragkiigh(V→V)		{}
9.26	kaasimaaq#V	kaasimaaq	V	[Ind.Intr]^[3Sg]		9	@~:(i/u)ma(V→V)		{}
9.27	kaatfiik#N	kaatfiik	N	[Abs.Sg]		9	@~fvig(V→N)		{}
9.28	kaallequuq#V	kaallequuq	V	[Ind.Intr]^[3Sg]		9	@lleqe(V→V)		{}
9.29	kaannaquuq#V	kaannaquuq	V	[Ind.Intr]^[3Sg]		9	@~fnaqe(V→V)		{}
9.30	kaasugtuuq#V	kaasugtuuq	V	[Ind.Intr]^[3Sg]		9	@~fyug(V→V)		{}
9.31	kaanneghituuq#V	kaanneghituuq	V	[Ind.Intr]^[3Sg]		9	@–nghite(V→V)		{}
9.32	kaasimata#N	kaasimata	N	[Abs.Sg]		9.31	@~:(u)te(V→N)		{}
9.33	kaasimata#N	kaasimata	N	[Abs.Sg]		9.31	@~:(u)te(V→N)		{}

10	ketuuq#V	ketuuq	V	[Ind.Intr]^[3Sg]					{}
10.1	ketaghesnaghtuuq#V	ketaghesnaghtuuq	V	[Ind.Intr]^[3Sg]		10	~f(a)ghesnagh(V→V)		{}
10.2	kennaquuq#V	kennaquuq	V	[Ind.Intr]^[3Sg]		10	@~fnaqe(V→V)		{}
10.3	ketaghesnaghyaghqaaguuq#V	ketaghesnaghyaghqaaguuq	V	[Ind.Intr]^[3Sg]		10.2	@~fyaghqau(V→V)		{}
10.4	ketaghesnaghyaghqaaguuq#V	ketaghesnaghyaghqaaguuq	V	[Ind.Intr]^[3Sg]		10.2	@~fyaghqau(V→V)		{}

11	nalugutuuq#V	nalugutuuq	V	[Ind.Intr]^[3Sg]					{}
11.1	nalugutaghesnaghtuuq#V	nalugutaghesnaghtuuq	V	[Ind.Intr]^[3Sg]		11	~f(a)ghesnagh(V→V)		{}
11.2	nalugutaghesnaan#N	nalugutaghesnaan	N	[Abs.Sg]		11.1	@~:(u)te(V→N)		{}
11.3	nalugutaghesnaan#N	nalugutaghesnaan	N	[Abs.Sg]		11.1	@~:(u)te(V→N)		{}

12	qiivuuq#V	qiivuuq	V	[Ind.Intr]^[3Sg]					{}
12.1	qiivaghesnaghtuuq#V	qiivaghesnaghtuuq	V	[Ind.Intr]^[3Sg]		12	~f(a)ghesnagh(V→V)		{}
12.2	qiivyukaghtuuq#V	qiivyukaghtuuq	V	[Ind.Intr]^[3Sg]		12	@~fyukagh(V→V)		{}
12.3	qiivaghesnaghaquuq#V	qiivaghesnaghaquuq	V	[Ind.Intr]^[3Sg]		12.2	~(g)aqe(V→V)		{}
12.4	qiivyukanghituuq#V	qiivyukanghituuq	V	[Ind.Intr]^[3Sg]		12.3	@–nghite(V→V)		{}

13	kaatutuuq#V	kaatutuuq	V	[Ind.Intr]^[3Sg]					{}
13.1	kaatutaghesnaghtuuq#V	kaatutaghesnaghtuuq	V	[Ind.Intr]^[3Sg]		13	~f(a)ghesnagh(V→V)		{}

14	pangalegtuuq#V	pangalegtuuq	V	[Ind.Intr]^[3Sg]					{}
14.1	pangalgaghtaghtuuq#V	pangalgaghtaghtuuq	V	[Ind.Intr]^[3Sg]		14	~aghtagh(V→V)		{}
14.2	pangalwaaghtuuq#V	pangalwaaghtuuq	V	[Ind.Intr]^[3Sg]		14	~–(ghw/ngw/w)aagh(V→V)		{}
14.3	pangalkaaguuq#V	pangalkaaguuq	V	[Ind.Intr]^[3Sg]		14	@~–(g)kau(V→V)		{}

15	mamlegtuuq#V	mamlegtuuq	V	[Ind.Intr]^[3Sg]					{}
