idx	word	raw	pos	infl	lookup	parent	deri	idk	js
7.2	aanumaaq#V	aanumaaq	V	[Ind.Intr]^[3Sg]		7	@~:(i/u)ma(V__)		{}
7.3	aanlaghatuuq#V	aanlaghatuuq	V	[Ind.Intr]^[3Sg]		7	~f__aghate(V__)		{}
7.4	aanaaq#V	aanaaq	V	[Ind.Intr]^[3Sg]		7	@~fna(V__)		{}
7.5	aanaaq#V	aanaaq	V	[Ind.Intr]^[3Sg]		7	@~fna(V__)		{}
7.6	aanaquuq#V	aanaquuq	V	[Ind.Intr]^[3Sg]		7	@~fnaqe(V__)		{}
7.7	aanqaghtuuq#V	aanqaghtuuq	V	[Ind.Intr]^[3Sg]		7	~__aghte(V__)		{}
7.8	aanesigwatuuq#V	aanesigwatuuq	V	[Ind.Intr]^[3Sg]		7	+(te)sigate(CmpdVbl)		{}
7.9	aanesugtuuq#V	aanesugtuuq	V	[Ind.Intr]^[3Sg]		7	+(te)sug(CmpdVbl)		{}
7.1	aanutuuq#V	aanutuuq	V	[Ind.Intr]^[3Sg]		7	@~:(u)te(V__)		{}
7.11	aanyaghaghtuuq#V	aanyaghaghtuuq	V	[Ind.Intr]^[3Sg]		7	@~fyaghagh(V__)		{}
7.12	aanesquuq#V	aanesquuq	V	[Ind.Intr]^[3Sg]		7	~sf:(e)sqe(CmpdVbl)		{}
7.13	aanutuuq#V	aanutuuq	V	[Ind.Intr]^[3Sg]		7	@~:(u)te(V__)		{}
7.14	aanellequuq#V	aanellequuq	V	[Ind.Intr]^[3Sg]		7	@lleqe(V__)		{}
7.15	aanaquuq#V	aanaquuq	V	[Ind.Intr]^[3Sg]		7	@~fnaqe(V__)		{}
									
8	taaquuq#V	taaquuq	V	[Ind.Intr]^[3Sg]					{}
8.1	taaqaghesnaghtuuq#V	taaqaghesnaghtuuq	V	[Ind.Intr]^[3Sg]		8	~f(a)ghesnagh(V__)		{}
8.2	taaqegkaaguuq#V	taaqegkaaguuq	V	[Ind.Intr]^[3Sg]		8	@~_(g)kau(V__)		{}
8.3	taaqegkaaguuq#V	taaqegkaaguuq	V	[Ind.Intr]^[3Sg]		8	@~_(g)kau(V__)		{}
8.4	taaqegkaaq#N	taaqegkaaq	N	[Abs.Sg]		8	@~_(g)kagh(V__)		{}
8.5	taaqegkaaq#N	taaqegkaaq	N	[Abs.Sg]		8	@~_(g)kagh(V__)		{}
8.6	taaqmiquuq#V	taaqmiquuq	V	[Ind.Intr]^[3Sg]		8	@~fmiqe(CmpdVbl)		{}
8.7	taaqnaquuq#V	taaqnaquuq	V	[Ind.Intr]^[3Sg]		8	@~fnaqe(V__)		{}
8.8	taaqigwatuuq#V	taaqigwatuuq	V	[Ind.Intr]^[3Sg]		8	@~:(ng)igate(V__)		{}
8.9	taaqragkiightuuq#V	taaqragkiightuuq	V	[Ind.Intr]^[3Sg]		8	@~f__agkiigh(V__)		{}
8.1	taaqestuuq#V	taaqestuuq	V	[Ind.Intr]^[3Sg]		8	+(te)ste(CmpdVbl)		{}
8.11	taaqfiik#N	taaqfiik	N	[Abs.Sg]		8	@~fvig(V__)		{}
8.12	taaqsugtuuq#V	taaqsugtuuq	V	[Ind.Intr]^[3Sg]		8	@~fyug(V__)		{}
8.13	taaqragkiightuuq#V	taaqragkiightuuq	V	[Ind.Intr]^[3Sg]		8	@~f__agkiigh(V__)		{}
8.14	taaqigwatuuq#V	taaqigwatuuq	V	[Ind.Intr]^[3Sg]		8	@~:(ng)igate(V__)		{}
8.15	taaqfiik#N	taaqfiik	N	[Abs.Sg]		8	@~fvig(V__)		{}
8.16	taaqsugtuuq#V	taaqsugtuuq	V	[Ind.Intr]^[3Sg]		8	@~fyug(V__)		{}
									
9	kaatuuq#V	kaatuuq	V	[Ind.Intr]^[3Sg]					{}
