neghe(V)^@~fyug(V→V)^@~–(g)kau(V→V)^[Ind.Intr]^[3Sg]	neghyukaaguq
ategh(V)^@~–(g)kau(V→V)^[Ind.Intr]^[3Sg]	aatqaaguq
pangaleg(V)^@~–(g)kau(V→V)^[Ind.Intr]^[3Sg]	pangalkaaguq
inghu(V)^@~–(g)kagh(V→N)^[Abs.Sg]	inghukaq
kuuve(V)^@~–(g)kagh(V→N)^[Abs.Sg]	kuuvegkaq
kuuve(V)^@~–(g)kagh(V→N)^[Abs.Sg]	kuufkaq
taaqe(V)^@~–(g)kagh(V→N)^[Abs.Sg]	taaqegkaq
taaqe(V)^@~–(g)kagh(V→N)^[Abs.Sg]	taaqkaq
neghe(V)^@~–(g)kagh(V→N)^[Abs.Sg]	neghegkaq
neghe(V)^@~–(g)kagh(V→N)^[Abs.Sg]	neghqaq
tuqute(V)^@~–(g)kagh(V→N)^[Abs.Sg]	tuqutkaq
tuqute(V)^@~–(g)kagh(V→N)^[Abs.Sg]	tuquskaq
tuqute(V)^@~–(g)kagh(V→N)^[Abs.Sg]	tuqutegkaq
ingaghte(V)^@~–(g)kagh(V→N)^[Abs.Sg]	ingaghtekaq
ingaghte(V)^@~–(g)kagh(V→N)^[Abs.Sg]	ingaghtegkaq
laag(V)^@~–(g)kagh(V→N)^[Abs.Sg]	laakaq
ayghigh(V)^@~–(g)kagh(V→N)^[Abs.Sg]	ayghiqaq
qavagh(V)^[Ptcp.Intr]^[3Sg]	qavalghii
qavagh(V)^[Ptcp.Intr]^[1Sg]	qavalghiinga
qavagh(V)^[Ptcp.Intr]^[1Pl]	qavalghiikut
esghagh(V)^@~–(g)kaqe(V→V)^[Ind.Trns]^[1Sg.3Pl]	esghaqaqanka
liite(V)^@~–(g)kaqe(V→V)^[Ind.Trns]^[2Sg.3Pl]	liitkaqaten
neghe(V)^@~–(g)kaqe(V→V)^[Ind.Trns]^[3Sg.3Sg]	neghegkaqaa
neghe(V)^@~–(g)kaqe(V→V)^[Ind.Trns]^[3Sg.3Sg]	neghqaqaa
esghagh(V)^@~–(g)kaqsagh(V→V)^[Ind.Trns]^[3Sg.3Sg]	esghaqaqsaghaa
tagi(V)^@~–(g)kaayagh(V→V)^[Ind.Intr]^[3Sg]	tagikaayaghtuq
neghe(V)^@~–(g)kaayagh(V→V)^[Ind.Trns]^[3Sg.3Sg]	neghegkaayaghaa
neghe(V)^@~–(g)kaayagh(V→V)^[Ind.Trns]^[3Sg.3Sg]	neghqaayaghaa
neghe(V)^@~–(g)kaqsagh(V→V)^[Ind.Trns]^[3Sg.3Sg]	neghegkaqsaghaa
neghe(V)^@~–(g)kaqsagh(V→V)^[Ind.Trns]^[3Sg.3Sg]	neghqaqsaghaa
itegh(V)^@~–(g)kaayagh(V→V)^[Ind.Intr]^[3Sg]	iitqaayaghtuq
esghagh(V)^@~–(g)kaayagh(V→V)^[Ind.Trns]^[3Sg.3Sg]	esghaqaayaghaa
aghula(V)^~–kayug(V→N)^[Abs.Sg]	aghulakayuk
qiya(V)^@~–(g)kayugu(V→V)^[Ind.Intr]^[3Sg]	qiyakayuguuq
neghe(V)^@~–(g)kayugu(V→V)^[Ind.Intr]^[3Sg]	neghegkayuguuq
neghe(V)^@~–(g)kayugu(V→V)^[Ind.Intr]^[3Sg]	neghqayuguuq
neghe(V)^@~–(g)kayugu(V→V)^[Ind.Trns]^[3Sg.3Sg]	neghegkayugaa
neghe(V)^@~–(g)kayugu(V→V)^[Ind.Trns]^[3Sg.3Sg]	neghqayugaa
aqfaate(V)^@~–(g)kayugu(V→V)^[Ind.Intr]^[3Sg]	aqfaatkayuguuq
aqfaate(V)^@~–(g)kayugu(V→V)^[Ind.Intr]^[3Sg]	aqfaaskayuguuq
laalighte(V)^@~–(g)kayugu(V→V)^[Ind.Intr]^[3Sg]	laalightekayuguuq
pugimagh(V)^@~–(g)kayugu(V→V)^[Ind.Intr]^[3Sg]	pugimaqayuguuq
ilagagh(V)^@~–(g)kayugu(V→V)^[Ind.Intr]^[3Sg]	ilagaqayuguuq
itegh(V)^@~–(g)kayugu(V→V)^[Ind.Intr]^[3Sg]	iitqayuguuq
aqfaate(V)^@~–(g)kayugughte(V→V)^[Ind.Intr]^[3Sg]	aqfaatkayugughtuq
aqfaate(V)^@~–(g)kayugughte(V→V)^[Ind.Intr]^[3Sg]	aqfaaskayugughtuq
liite(V)^@~–(g)kaqe(V→V)^[Ind.Trns]^[2Sg.3Pl]	liiskaqaten
malghug(NUM)^–gnegh(NUM→N)^[Abs.Pl]	malghugneghet
pingayut(NUM)^–gnegh(NUM→N)^[Abs.Pl]	pingayugneghet
pingayut(NUM)^–gnegh(NUM→N)^[Abl_Mod.Pl]	pingayugneghneng
estamat(NUM)^–gnegh(NUM→N)^[Loc.Pl]	estamagneghni
tallimat(NUM)^–gnegh(NUM→N)^[Abs.Pl]	tallimagneghet
malghug(NUM)^–gnegh(NUM→N)^~:(ng)u(N→V)^[Sbrd.Intr]^[1Pl]	malghugneghuluta
malghug(NUM)^–gnegh(NUM→N)^~:(ng)u(N→V)^[Sbrd.Intr]^[1Pl]	malghugneghulluta
